14,2,3,4
15,2,3,4
6,2,3,4
15,2,3,4
14,2,3,4
5,47,19,150
1,47,8,9,150
14,47,19,151
5,47,8,9,151
5,2,3,4
5,2,3,4
14,125,19,152
6,125,3,139
6,125,19,153
1,125,3,139
14,125,3,139
5,125,3,139
5,125,19,154
15,140,19,155
6,125,3,139
6,47,19,156
6,47,8,9,156
14,2,3,4
5,2,3,4
1,2,3,4
5,140,3,141
1,125,3,139
1,29,3,131
1,29,3,131
5,29,3,131
6,29,25,46,131
15,29,8,9,131
5,140,3,141
15,140,3,141
15,140,3,141
6,125,3,139
15,125,3,139
1,140,3,141
6,140,3,141
6,2,3,4
5,2,3,4
6,2,3,4
14,140,3,141
5,125,3,139
5,140,3,141
5,125,3,139
15,140,3,141
14,125,3,139
6,140,3,141
6,125,3,139
1,140,3,141
5,125,3,139
14,140,25,26,141
5,140,8,9,141
6,125,3,139
5,125,3,139
15,146,25,27,148
1,146,8,9,148
1,146,25,27,147
5,146,8,9,147
15,125,25,26,139
6,2,3,4
14,2,3,4
15,2,3,4
1,29,19,157
6,158,19,159
6,125,8,9,139
6,140,8,9,155
15,140,8,9,145
14,125,8,9,153
15,135,19,160
15,125,8,9,126
6,125,8,9,154
15,161,19,162
15,129,19,163
14,129,3,149
5,129,3,149
6,129,3,149
1,129,3,149
15,125,8,9,152
1,129,3,149
6,129,3,149
1,129,3,149
1,129,3,149
1,129,3,149
1,129,3,149
14,129,3,149
5,129,3,149
6,129,3,149
6,129,3,149
14,129,3,149
15,129,3,149
6,129,3,149
5,129,3,149
6,129,3,149
6,129,3,149
1,129,25,26,149
14,129,8,9,149
15,129,8,9,163
14,129,8,9,130
14,161,8,9,162
5,2,3,4
5,2,3,4
14,2,3,4
6,2,3,4
1,2,3,4
5,2,3,4
1,164,19,165
6,2,19,166
1,2,3,4
1,2,3,4
15,2,3,4
6,2,3,4
1,167,19,168
1,2,3,4
6,2,3,4
1,2,3,4
15,2,3,4
14,2,3,4
6,169,19,170
6,2,3,4
5,2,3,4
15,2,3,4
15,135,19,171
15,135,3,160
15,158,25,27,159
1,158,8,9,159
6,132,19,172
14,135,19,173
1,135,3,160
1,135,3,160
5,135,3,160
14,135,3,160
14,135,3,160
14,135,3,160
1,135,3,160
1,135,3,160
6,135,3,160
15,135,3,160
14,135,3,160
5,135,3,160
6,135,3,160
6,135,3,160
6,135,25,26,160
5,135,8,9,160
6,135,8,9,173
14,135,8,9,171
5,135,8,9,136
6,2,3,4
6,132,19,174
1,132,3,134
5,132,25,26,134
15,132,8,9,134
15,132,8,9,174
5,132,8,9,172
6,44,3,45
15,2,3,4
6,2,3,4
14,132,8,9,133
5,175,19,176
6,2,3,4
6,2,3,4
14,177,19,178
15,2,3,4
14,2,3,4
6,137,19,179
6,137,8,9,179
6,177,8,9,178
15,2,3,4
6,137,8,9,138
14,2,3,4
15,164,25,27,165
15,164,8,9,165
14,2,3,4
15,2,3,166
14,2,19,180
6,2,19,181
14,2,3,166
15,2,3,166
1,2,3,166
5,2,3,166
5,2,3,166
1,2,3,166
15,2,3,166
5,2,3,166
1,2,3,166
1,2,3,166
14,2,3,166
15,2,3,166
15,2,3,166
14,2,3,166
